date,expiry,method,n_grid,n_price_convex_viol,n_price_slope_viol,n_density_negative,n_iv_undefined,n_scored,n_viol,n_viol_observed,n_grid_observed
2022-09-14,2022-10-13,Fengler,61,0,0,0,6,55,5,0,43
2022-09-14,2022-10-06,Fengler,61,0,0,0,0,61,0,0,43
2022-09-14,2022-09-29,Fengler,61,0,0,0,0,61,0,0,43
2022-09-14,2022-09-22,Fengler,61,0,0,0,0,60,0,0,43
2022-09-30,2022-12-29,Fengler,61,0,0,0,0,61,0,0,43
2022-09-30,2022-11-24,Fengler,61,0,0,0,1,60,3,0,43
2022-09-30,2022-11-03,Fengler,61,0,0,0,0,61,9,0,43
2022-09-30,2022-10-27,Fengler,61,0,0,0,0,61,0,0,43
2022-09-30,2022-10-20,Fengler,61,0,0,0,5,56,2,0,43
2022-09-30,2022-10-13,Fengler,61,0,0,0,1,60,0,0,43
2022-10-19,2022-12-29,Fengler,61,0,0,0,2,59,0,0,43
2022-10-19,2022-11-24,Fengler,61,0,0,0,0,61,0,0,43
2022-10-19,2022-11-17,Fengler,61,0,0,0,3,58,5,0,43
2022-10-19,2022-11-10,Fengler,61,0,0,0,6,55,3,0,43
2022-10-19,2022-11-03,Fengler,61,0,0,0,0,61,0,0,43
2022-10-19,2022-10-27,Fengler,61,0,0,0,0,61,0,0,43
2022-11-09,2023-01-25,Fengler,61,0,0,0,1,60,0,0,43
2022-11-09,2022-12-29,Fengler,61,0,0,0,0,61,0,0,43
2022-11-09,2022-12-01,Fengler,61,0,0,0,0,61,0,0,43
2022-11-09,2022-11-24,Fengler,61,0,0,0,1,60,0,0,43
2022-11-09,2022-11-17,Fengler,61,0,0,0,0,61,0,0,43
2022-11-25,2023-03-30,Fengler,61,0,0,0,0,61,0,0,43
2022-11-25,2023-01-25,Fengler,61,0,0,0,0,61,0,0,43
2022-11-25,2022-12-29,Fengler,61,0,0,0,0,61,0,0,43
2022-11-25,2022-12-22,Fengler,61,0,0,0,0,61,0,0,43
2022-11-25,2022-12-15,Fengler,61,0,0,0,0,61,0,0,43
2022-11-25,2022-12-08,Fengler,61,0,0,0,3,58,0,0,43
2022-12-13,2023-03-30,Fengler,61,0,0,0,0,61,0,0,43
2022-12-13,2023-02-23,Fengler,61,0,0,0,2,58,10,0,43
2022-12-13,2023-01-25,Fengler,61,0,0,0,2,59,0,0,43
2022-12-13,2023-01-05,Fengler,61,0,0,0,0,61,0,0,43
2022-12-13,2022-12-29,Fengler,61,0,0,0,0,61,0,0,43
2022-12-13,2022-12-22,Fengler,61,0,0,0,0,61,0,0,43
2022-12-29,2023-12-28,Fengler,61,0,0,0,1,59,1,0,43
2022-12-29,2023-03-29,Fengler,61,0,0,0,9,52,0,0,43
2022-12-29,2023-02-23,Fengler,61,0,0,0,5,56,5,0,43
2022-12-29,2023-02-02,Fengler,61,0,0,0,1,60,5,0,43
2022-12-29,2023-01-25,Fengler,61,0,0,0,3,58,0,0,43
2022-12-29,2023-01-19,Fengler,61,0,0,0,0,61,0,0,43
2022-12-29,2023-01-12,Fengler,61,0,0,0,1,60,0,0,43
2022-12-29,2023-01-05,Fengler,61,0,0,0,0,61,0,0,43
2023-01-16,2023-12-28,Fengler,61,0,0,0,5,56,6,0,43
2023-01-16,2023-03-29,Fengler,61,0,0,0,7,54,0,0,43
2023-01-16,2023-02-23,Fengler,61,0,0,0,2,58,2,0,43
2023-01-16,2023-02-09,Fengler,61,0,0,0,4,57,0,0,43
2023-01-16,2023-02-02,Fengler,61,0,0,0,7,54,0,0,43
2023-01-16,2023-01-25,Fengler,61,0,0,0,0,61,0,0,43
2023-02-02,2023-12-28,Fengler,61,0,0,0,0,61,0,0,43
2023-02-02,2023-04-27,Fengler,61,0,0,0,3,58,6,0,43
2023-02-02,2023-03-29,Fengler,61,0,0,0,11,50,0,0,43
2023-02-02,2023-03-02,Fengler,61,0,0,0,4,56,2,0,43
2023-02-02,2023-02-23,Fengler,61,0,0,0,1,60,0,0,43
2023-02-02,2023-02-16,Fengler,61,0,0,0,0,61,0,0,43
