date,method,expiry_earlier,expiry_later,n_grid,n_grid_common,n_price_viol,n_price_viol_common,n_scored,n_viol,n_viol_common
2022-10-19,Fengler,2022-11-10,2022-11-17,61,13,7,0,16,1,0
2022-10-19,Fengler,2022-11-17,2022-11-24,61,15,0,0,25,0,0
2022-10-19,Fengler,2022-11-24,2022-12-29,61,28,0,0,43,0,0
2022-11-09,Fengler,2022-11-17,2022-11-24,61,22,17,0,39,2,0
2022-11-09,Fengler,2022-11-24,2022-12-01,61,16,21,0,27,2,0
2022-11-09,Fengler,2022-12-01,2022-12-29,61,16,0,0,42,0,0
2022-11-09,Fengler,2022-12-29,2023-01-25,61,24,27,0,40,6,0
2022-11-25,Fengler,2022-12-08,2022-12-15,61,12,1,0,21,0,0
2022-11-25,Fengler,2022-12-15,2022-12-22,61,11,5,0,19,2,0
2022-11-25,Fengler,2022-12-22,2022-12-29,61,12,20,0,38,20,0
2022-11-25,Fengler,2022-12-29,2023-01-25,61,26,17,0,53,9,0
2022-11-25,Fengler,2023-01-25,2023-03-30,61,26,0,0,53,0,0
2022-12-13,Fengler,2022-12-22,2022-12-29,61,17,0,0,43,0,0
2022-12-13,Fengler,2022-12-29,2023-01-05,61,18,36,0,31,6,0
2022-12-13,Fengler,2023-01-05,2023-01-25,61,16,5,0,28,2,0
2022-12-13,Fengler,2023-01-25,2023-02-23,61,11,33,0,16,1,0
2022-12-13,Fengler,2023-02-23,2023-03-30,61,11,0,0,16,0,0
2022-12-29,Fengler,2023-01-05,2023-01-12,61,17,34,0,34,7,0
2022-12-29,Fengler,2023-01-12,2023-01-19,61,16,5,0,31,2,0
2022-12-29,Fengler,2023-01-19,2023-01-25,61,16,17,0,32,6,0
2022-12-29,Fengler,2023-01-25,2023-02-02,61,14,12,0,21,1,0
2022-12-29,Fengler,2023-02-02,2023-02-23,61,14,3,0,19,1,0
2022-12-29,Fengler,2023-02-23,2023-03-29,61,18,0,0,23,0,0
2022-12-29,Fengler,2023-03-29,2023-12-28,61,38,0,0,51,0,0
2023-01-16,Fengler,2023-01-25,2023-02-02,61,16,33,0,26,3,0
2023-01-16,Fengler,2023-02-02,2023-02-09,61,15,7,0,20,1,0
2023-01-16,Fengler,2023-02-09,2023-02-23,61,15,0,0,20,0,0
2023-01-16,Fengler,2023-02-23,2023-03-29,61,17,0,0,23,0,0
2023-01-16,Fengler,2023-03-29,2023-12-28,61,38,8,0,46,0,0
2023-02-02,Fengler,2023-02-09,2023-02-16,61,15,0,0,38,0,0
2023-02-02,Fengler,2023-02-16,2023-02-23,61,15,27,0,37,3,0
2023-02-02,Fengler,2023-02-23,2023-03-02,61,14,3,0,35,1,0
2023-02-02,Fengler,2023-03-02,2023-03-29,61,14,16,0,24,5,0
2023-02-02,Fengler,2023-03-29,2023-04-27,61,12,22,0,22,2,0
2023-02-02,Fengler,2023-04-27,2023-12-28,61,12,0,0,22,0,0
2023-02-20,Fengler,2023-03-02,2023-03-09,61,14,1,0,38,0,0
2023-02-20,Fengler,2023-03-09,2023-03-16,61,13,1,0,37,0,0
2023-02-20,Fengler,2023-03-16,2023-03-23,61,10,5,1,34,2,1
2023-02-20,Fengler,2023-03-23,2023-03-29,61,10,3,0,34,3,0
2023-02-20,Fengler,2023-03-29,2023-04-27,61,14,43,0,20,2,0
2023-02-20,Fengler,2023-04-27,2023-12-28,61,14,0,0,20,0,0
2023-03-09,Fengler,2023-03-16,2023-03-23,61,16,0,0,36,0,0
2023-03-09,Fengler,2023-03-23,2023-03-29,61,16,13,0,46,12,0
2023-03-09,Fengler,2023-03-29,2023-04-06,61,11,40,0,19,4,0
2023-03-09,Fengler,2023-04-06,2023-04-27,61,11,3,0,17,1,0
2023-03-09,Fengler,2023-04-27,2023-05-25,61,10,8,0,16,2,0
2023-03-09,Fengler,2023-05-25,2023-06-29,61,11,0,0,16,0,0
2023-03-09,Fengler,2023-06-29,2023-12-28,61,34,0,0,49,0,0
2023-03-27,Fengler,2023-04-06,2023-04-13,61,16,0,0,28,0,0
2023-03-27,Fengler,2023-04-13,2023-04-20,61,12,6,0,37,1,0
2023-03-27,Fengler,2023-04-20,2023-04-27,61,12,21,0,37,21,0
2023-03-27,Fengler,2023-04-27,2023-05-25,61,17,16,0,24,1,0
2023-03-27,Fengler,2023-05-25,2023-06-29,61,17,0,0,27,0,0
2023-03-27,Fengler,2023-06-29,2023-12-28,61,39,0,0,52,0,0
2023-04-18,Fengler,2023-04-27,2023-05-04,61,16,3,0,40,1,0
2023-04-18,Fengler,2023-05-04,2023-05-11,61,15,0,0,40,0,0
2023-04-18,Fengler,2023-05-11,2023-05-25,61,13,19,0,24,2,0
2023-04-18,Fengler,2023-05-25,2023-06-29,61,16,0,0,32,0,0
2023-04-18,Fengler,2023-06-29,2023-12-28,61,37,4,0,53,1,0
2023-05-05,Fengler,2023-05-18,2023-05-25,61,15,6,0,43,1,0
2023-05-05,Fengler,2023-05-25,2023-06-01,61,14,27,0,17,1,0
2023-05-05,Fengler,2023-06-01,2023-06-29,61,14,19,0,26,10,0
2023-05-05,Fengler,2023-06-29,2023-07-27,61,10,39,0,16,3,0
